data;codice_spira;00:00-01:00;01:00-02:00;02:00-03:00;03:00-04:00;04:00-05:00;05:00-06:00;06:00-07:00;07:00-08:00;08:00-09:00;09:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;20:00-21:00;21:00-22:00;22:00-23:00;23:00-24:00;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;giorno settimana;edge_id
01/02/2024;2.18 2.82 6 1;9;3;1;3;3;13;22;52;91;92;111;102;106;64;86;108;135;125;126;100;93;50;26;23;169;1;spira;560;4563;36250;VIA MARZABOTTO;4568;8778;4000/343434;A;25;N;329;113.101.650.805.774;44.499.278.975.506;44.499278975506, 11.3101650805774;420;Giovedì;b23
01/02/2024;2.19 2.19 6 1;58;16;7;9;14;47;135;511;583;438;368;378;383;395;395;382;407;515;473;405;286;169;157;107;176;1;spira;567;357;57650;VIA DEL TIMAVO;4680;4701;4000/343434;A;24;N;338;113.163.420.592.928;444.977.904.881.531;44.4977904881531, 11.3163420592928;426;Giovedì;b38[0]
01/02/2024;2.19 2.19 8 1;155;80;37;37;55;139;358;1113;1193;1115;957;899;979;994;975;1000;1092;1285;1331;1226;963;438;378;297;788;1;spira;1132;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;N;253;113.132.403.786.183;444.978.131.399.409;44.4978131399409, 11.3132403786183;428;Giovedì;b2[1][0]
01/02/2024;2.19 2.32 6 1;26;11;5;6;9;10;41;142;216;126;119;131;124;123;126;145;165;163;180;151;121;82;74;40;358;1;spira;106;2699;57650;VIA DEL TIMAVO;4701;8812;4000/343434;A;24;N;338;113.170.094.340.646;444.988.944.328.703;44.4988944328703, 11.3170094340646;430;Giovedì;b38[1][0]
01/02/2024;2.30 0.127 6 1;195;71;48;58;73;170;658;1756;1925;1489;1269;1231;1269;1281;1281;1293;1485;1683;1453;1258;924;514;414;392;187;1;spira;579;9147;47900;VIA PRATI DI CAPRARA;13344;16937;4000/343434;A;16;N;341;113.095.630.279.905;445.058.710.102.678;44.5058710102678, 11.3095630279905;467;Giovedì;b4[1][1][1]
01/02/2024;2.30 2.29 4 1;52;23;9;7;16;38;75;148;227;242;232;263;228;229;226;256;282;259;268;239;168;93;99;103;295;1;spira;35;6841;21400;VIA EMILIA PONENTE;14442;13345;4000/343434;A;16;NO;65;113.090.333.624.097;445.057.316.740.375;44.5057316740375, 11.3090333624097;468;Giovedì;b10
01/02/2024;2.33 0.127 2 1;67;33;18;12;9;33;55;261;364;258;236;278;277;291;268;310;372;430;467;364;244;156;145;155;290;1;spira;30;2729;62250;VIA VITTORIO VENETO;8839;8814;4000/343434;A;19;SO;155;113.215.190.419.811;445.010.742.719.742;44.5010742719742, 11.3215190419811;476;Giovedì;b55
01/02/2024;2.35 2.21 6 1;116;53;32;16;27;45;148;577;569;508;486;486;509;561;501;527;584;596;671;646;505;336;222;257;284;1;spira;24;8756;61550;VIALE GIOVANNI VICINI;16684;16686;4000/343434;A;21;S;194;113.268.760.258.863;44.498.954.845.287;44.498954845287, 11.3268760258863;483;Giovedì;a124
01/02/2024;2.40 2.21 8 1;201;88;39;35;61;166;513;1675;1835;1511;1166;1129;1138;1212;1245;1226;1379;1491;1641;1468;1174;535;464;387;659;1;spira;1083;391;52300;VIA SABOTINO;15767;4727;4000/343434;A;393;E;269;113.237.550.845.001;444.970.385.266.486;44.4970385266486, 11.3237550845001;495;Giovedì;a122
01/02/2024;2.82 2.19 8 1;19;9;3;5;2;10;38;216;281;151;112;122;105;133;188;159;210;218;214;168;146;59;44;47;172;1;spira;563;2748;44650;VIA PASUBIO;4565;4701;4000/343434;A;24;E;248;11.316.433.339.438;444.989.091.324.745;44.4989091324745, 11.316433339438;509;Giovedì;b37
01/02/2024;2.82 2.31 6 1;14;4;3;1;4;8;52;159;202;147;102;112;112;116;121;118;174;176;182;123;89;60;32;37;190;1;spira;582;4568;36250;VIA MARZABOTTO;8777;8776;4000/343434;A;300;N;335;113.133.096.525.433;445.038.846.559.691;44.5038846559691, 11.3133096525433;510;Giovedì;b17[1]
